NumA,Silver_thickness_nm,Gold_thickness_nm,Copper_thickness_nm,Aluminum_thickness_nm,Graphene_layers,Sensing_length_mm,n_sens,Resonance_lambda_nm,FWHM_nm,Sensitivity_nm_per_RIU
0.2,41,39,42,37,5,7,1.33,618.73,40.13,9832.78
0.2,41,39,40,38,1,6,1.35,819.4,38.13,10033.44
0.2,40,38,36,42,1,8,1.36,917.73,38.13,9983.28
0.2,39,40,35,36,4,8,1.36,915.72,40.13,10033.44
0.2,42,40,36,40,5,6,1.36,919.73,40.13,10033.44
0.2,40,38,38,35,1,6,1.34,715.05,40.13,9933.11
0.2,40,35,38,36,1,5,1.35,815.38,40.13,10033.44
0.2,38,40,40,38,3,8,1.35,817.39,40.13,9966.56
0.2,35,35,37,41,1,5,1.36,913.71,40.13,9983.28
0.2,42,35,42,38,1,5,1.35,819.4,40.13,10033.44
0.2,38,40,36,38,4,6,1.34,715.05,40.13,9933.11
0.2,41,36,35,39,1,6,1.36,915.72,38.13,9983.28
0.2,38,39,35,40,3,5,1.34,715.05,40.13,9933.11
0.2,35,38,41,41,3,7,1.33,616.72,40.13,9832.78
0.2,35,39,37,38,5,7,1.33,614.72,40.13,10033.44
0.2,36,35,35,37,2,8,1.35,811.37,42.14,9966.56
0.2,42,38,41,40,4,7,1.34,721.07,38.13,10033.44
0.2,42,36,39,37,3,7,1.35,817.39,38.13,10033.44
0.2,41,37,41,36,2,6,1.34,717.06,38.13,9933.11
0.2,37,38,41,36,5,6,1.36,915.72,38.13,9983.28
0.2,41,40,35,39,5,7,1.34,717.06,38.13,9933.11
0.2,37,41,36,36,2,5,1.33,614.72,40.13,10033.44
0.2,36,37,39,37,4,8,1.33,614.72,40.13,10033.44
0.2,41,35,40,39,3,7,1.33,616.72,40.13,9832.78
0.2,36,35,42,37,1,5,1.35,815.38,40.13,10033.44
0.2,40,37,35,42,4,7,1.34,717.06,38.13,10033.44
0.2,42,35,42,36,4,6,1.36,917.73,38.13,9983.28
0.2,39,40,37,41,2,8,1.35,819.4,40.13,10033.44
0.2,38,40,37,38,2,8,1.34,717.06,40.13,10033.44
0.2,40,40,37,38,1,6,1.36,917.73,38.13,9983.28
